Name,Type,Location,Conference,Division,URL
Bowdoin College,Private,"Brunswick, Maine",New England Small College Athletic Conference,NCAA D3,https://www.bowdoin.edu/
Brandeis University,Private,"Waltham, Massachusetts",University Athletic Association,NCAA D3,https://www.brandeis.edu/
Brevard College,Private,"Brevard, North Carolina",USA South Athletic Conference,NCAA D3,https://brevard.edu/
Bridgewater College,Private,"Bridgewater, Virginia",Old Dominion Athletic Conf.,NCAA D3,https://www.bridgewater.edu/
Bridgewater State University,Public,"Bridgewater, Massachusetts",Massachusetts State Collegiate Athletic Conference,NCAA D3,https://www.bridgew.edu/admissions/undergraduate
Bryn Athyn College,Private,"Bryn Athyn, Pennsylvania",United East Conference,NCAA D3,https://www.brynathyn.edu/
Bryn Mawr College,Private,"Bryn Mawr, Pennsylvania",Centennial Conference,NCAA D3,https://www.brynmawr.edu/
Buena Vista University,Private,"Storm Lake, Iowa",American Rivers Conference,NCAA D3,https://www.bvu.edu/
Buffalo State College,Public,"Buffalo, New York",State University of New York Athletic Conference,NCAA D3,https://suny.buffalostate.edu/
Cairn University,Private,"Langhorne, Pennsylvania",United East Conference,NCAA D3,https://cairn.edu/
California Institute of Technology,Private,"Pasadena, California",Southern California Intercollegiate Athletic Conf.,NCAA D3,https://www.caltech.edu/
California Lutheran University,Private,"Thousand Oaks, California",Southern California Intercollegiate Athletic Conf.,NCAA D3,https://www.callutheran.edu/
Calvin University,Private,"Grand Rapids, Michigan",Michigan Intercol. Ath. Assn.,NCAA D3,https://calvin.edu
Capital University,Private,"Columbus, Ohio",Ohio Athletic Conference,NCAA D3,https://www.capital.edu/
Carleton College,Private,"Northfield, Minnesota",Minnesota Intercollegiate Athletic Conference,NCAA D3,https://www.carleton.edu/
Carlow University,Public,"Pittsburgh, Pennsylvania",Allegheny Mountain Collegiate Conference,NCAA D3,https://www.carlow.edu/
Carnegie Mellon University,Private,"Pittsburgh, Pennsylvania",University Athletic Association,NCAA D3,https://www.cmu.edu/
Carroll University,Private,"Waukesha, Wisconsin",College Conference of Illinois & Wisconsin,NCAA D3,https://www.carrollu.edu/
Carthage College,Private,"Kenosha, Wisconsin",College Conference of Illinois & Wisconsin,NCAA D3,https://www.carthage.edu/
Case Western Reserve University,Private,"Cleveland, Ohio",University Athletic Association,NCAA D3,https://case.edu
Catholic University,Private,"Washington, District Of Columbia",Landmark Conference,NCAA D3,https://www.catholic.edu/
Cedar Crest College,Private,"Allentown, Pennsylvania",United East Conference,NCAA D3,https://www.cedarcrest.edu/
Centenary College of Louisiana,Private,"Shreveport, Louisiana",Southern Collegiate Athletic Conference,NCAA D3,https://www.centenary.edu/
Centenary University – New Jersey,Private,"Hackettstown, New Jersey",Atlantic East Conference,NCAA D3,https://www.centenaryuniversity.edu/
Central College,Private,"Pella, Iowa",American Rivers Conference,NCAA D3,https://central.edu
Centre College,Private,"Danville, Kentucky",Southern Athletic Association,NCAA D3,https://www.centre.edu/
Chapman University,Private,"Orange, California",Southern California Intercollegiate Athletic Conf.,NCAA D3,https://www.chapman.edu/
Chatham University,Private,"Pittsburgh, Pennsylvania",Presidents' Athletic Conference,NCAA D3,https://www.chatham.edu/
Christopher Newport University,Public,"Newport News, Virginia",Coast-To-Coast Athletic Conference,NCAA D3,https://cnu.edu/
Claremont-Mudd-Scripps Colleges,Private,"Claremont, California",Southern California Intercollegiate Athletic Conf.,NCAA D3,https://www.cmc.edu/
Clark University,Private,"Worcester, Massachusetts",New England Women's and Men's Athletic Conference,NCAA D3,https://www.clarku.edu/
Clarkson University,Private,"Potsdam, New York",Liberty League,NCAA D3,https://www.clarkson.edu/
Coe College,Private,"Cedar Rapids, Iowa",American Rivers Conference,NCAA D3,https://www.coe.edu/
Colby College,Private,"Waterville, Maine",New England Small College Athletic Conference,NCAA D3,https://www.colby.edu/
Colby-Sawyer College,Private,"New London, New Hampshire",Great Northeast Athletic Conference,NCAA D3,https://www.colby-sawyer.edu/
College of Saint Benedict,Private,"Saint Joseph, Minnesota",Minnesota Intercollegiate Athletic Conference,NCAA D3,https://www.csbsju.edu
College of Wooster,Private,"Wooster, Ohio",North Coast Athletic Conference,NCAA D3,https://wooster.edu/
Colorado College,Private,"Colorado Springs, Colorado",Southern Collegiate Athletic Conference,NCAA D3,https://www.coloradocollege.edu/
Concordia College – Minnesota,Private,"Moorhead, Minnesota",Minnesota Intercollegiate Athletic Conference,NCAA D3,https://www.concordiacollege.edu/
Concordia University – Chicago,Private,"River Forest, Illinois",Northern Athletics Collegiate Conference,NCAA D3,https://www.cuchicago.edu/
Concordia University – Texas,Private,"Austin, Texas",Southern Collegiate Athletic Conference,NCAA D3,https://www.concordia.edu/
Concordia University Wisconsin,Private,"Mequon, Wisconsin",Northern Athletics Collegiate Conference,NCAA D3,https://www.cuw.edu/
Connecticut College,Private,"New London, Connecticut",New England Small College Athletic Conference,NCAA D3,https://www.conncoll.edu/
Cornell College,Private,"Mount Vernon, Iowa",Midwest Conference,NCAA D3,https://www.cornellcollege.edu/
Covenant College,Private,"Lookout Mountain, Georgia",Collegiate Conference of the South,NCAA D3,https://www.covenant.edu
Crown College,Private,"Saint Bonifacius, Minnesota",Upper Midwest Athletic Conference,NCAA D3,https://www.crown.edu
Curry College,Private,"Milton, Massachusetts",Conference of New England,NCAA D3,https://www.curry.edu/
Dean College,Private,"Franklin, Massachusetts",Great Northeast Athletic Conference,NCAA D3,https://www.dean.edu/
Delaware Valley University,Private,"Doylestown, Pennsylvania",Middle Atlantic Conferences,NCAA D3,https://delval.edu/
Denison University,Private,"Granville, Ohio",North Coast Athletic Conference,NCAA D3,https://denison.edu/
DePauw University,Private,"Greencastle, Indiana",North Coast Athletic Conference,NCAA D3,https://www.depauw.edu/
DeSales University,Private,"Center Valley, Pennsylvania",Middle Atlantic Conferences,NCAA D3,https://www.desales.edu/
Dickinson College,Private,"Carlisle, Pennsylvania",Centennial Conference,NCAA D3,https://www.dickinson.edu/
Dominican University – Illinois,Private,"River Forest, Illinois",Northern Athletics Collegiate Conference,NCAA D3,https://www.dom.edu/
Drew University,Private,"Madison, New Jersey",Landmark Conference,NCAA D3,https://drew.edu/
Earlham College,Private,"Richmond, Indiana",Heartland Collegiate Athletic Conference,NCAA D3,https://earlham.edu/
East Texas Baptist University,Private,"Marshall, Texas",American Southwest Conference,NCAA D3,https://www.etbu.edu/
Eastern Connecticut State University,Public,"Willimantic, Connecticut",Little East Conference,NCAA D3,https://www.easternct.edu/
Eastern Mennonite University,Private,"Harrisonburg, Virginia",Old Dominion Athletic Conf.,NCAA D3,https://emu.edu
Eastern Nazarene College,Private,"Quincy, Massachusetts",North Atlantic Conference,NCAA D3,https://enc.edu/
Eastern University,Private,"Saint Davids, Pennsylvania",Middle Atlantic Conferences,NCAA D3,https://www.eastern.edu
Edgewood College,Private,"Madison, Wisconsin",Northern Athletics Collegiate Conference,NCAA D3,https://www.edgewood.edu
Elizabethtown College,Private,"Elizabethtown, Pennsylvania",Landmark Conference,NCAA D3,https://www.etown.edu/
Elmhurst University,Private,"Elmhurst, Illinois",College Conference of Illinois & Wisconsin,NCAA D3,https://www.elmhurst.edu/
Elmira College,Private,"Elmira, New York",Empire 8,NCAA D3,https://www.elmira.edu/
Elms College,Private,"Chicopee, Massachusetts",Great Northeast Athletic Conference,NCAA D3,https://www.elms.edu/
Emerson College,Private,"Boston, Massachusetts",New England Women's and Men's Athletic Conference,NCAA D3,https://emerson.edu/
Emmanuel College – Massachusetts,Private,"Boston, Massachusetts",Great Northeast Athletic Conference,NCAA D3,https://www.emmanuel.edu/
Emory University,Private,"Atlanta, Georgia",University Athletic Association,NCAA D3,https://www.emory.edu/home/index.html
Endicott College,Private,"Beverly, Massachusetts",Conference of New England,NCAA D3,https://www.endicott.edu/
Eureka College,Private,"Eureka, Illinois",St. Louis Intercollegiate Athletic Conference,NCAA D3,https://www.eureka.edu/
Fairleigh Dickinson University – Florham,Private,"Madison, New Jersey",Middle Atlantic Conferences,NCAA D3,https://www.fdu.edu/
Farmingdale State College,Public,"Farmingdale, New York",Skyline Conference,NCAA D3,https://www.farmingdale.edu/
Ferrum College,Private,"Ferrum, Virginia",Old Dominion Athletic Conf.,NCAA D3,https://www.ferrum.edu/
Fitchburg State University,Public,"Fitchburg, Massachusetts",Massachusetts State Collegiate Athletic Conference,NCAA D3,https://www.fitchburgstate.edu/
Fontbonne University,Private,"Clayton, Missouri",St. Louis Intercollegiate Athletic Conference,NCAA D3,https://www.fontbonne.edu/
Framingham State University,Public,"Framingham, Massachusetts",Massachusetts State Collegiate Athletic Conference,NCAA D3,https://www.framingham.edu/
Franciscan University of Steubenville,Private,"Steubenville, Ohio",Presidents' Athletic Conference,NCAA D3,https://franciscan.edu/
Franklin & Marshall College,Private,"Lancaster, Pennsylvania",Centennial Conference,NCAA D3,https://www.fandm.edu/
Franklin College,Private,"Franklin, Indiana",Heartland Collegiate Athletic Conference,NCAA D3,https://franklincollege.edu/
Gallaudet University,Private,"Washington, District Of Columbia",United East Conference,NCAA D3,https://gallaudet.edu/
Geneva College,Private,"Beaver Falls, Pennsylvania",Presidents' Athletic Conference,NCAA D3,https://www.geneva.edu/
George Fox University,Private,"Newberg, Oregon",Northwest Conference,NCAA D3,https://www.georgefox.edu/
Gettysburg College,Private,"Gettysburg, Pennsylvania",Centennial Conference,NCAA D3,https://www.gettysburg.edu/
Gordon College,Private,"Wenham, Massachusetts",Conference of New England,NCAA D3,https://www.gordon.edu
Goucher College,Private,"Baltimore, Maryland",Landmark Conference,NCAA D3,https://www.goucher.edu/
Greensboro College,Private,"Greensboro, North Carolina",USA South Athletic Conference,NCAA D3,https://www.greensboro.edu/
Greenville University,Private,"Greenville, Illinois",St. Louis Intercollegiate Athletic Conference,NCAA D3,https://www.greenville.edu/
Grinnell College,Private,"Grinnell, Iowa",Midwest Conference,NCAA D3,https://www.grinnell.edu/
Grove City College,Private,"Grove City, Pennsylvania",Presidents' Athletic Conference,NCAA D3,https://www.gcc.edu/
Guilford College,Private,"Greensboro, North Carolina",Old Dominion Athletic Conf.,NCAA D3,https://www.guilford.edu/
Gustavus Adolphus College,Private,"Saint Peter, Minnesota",Minnesota Intercollegiate Athletic Conference,NCAA D3,https://gustavus.edu/
Gwynedd Mercy University,Private,"Gwynedd Valley, Pennsylvania",Atlantic East Conference,NCAA D3,https://www.gmercyu.edu/
Hamilton College,Private,"Clinton, New York",New England Small College Athletic Conference,NCAA D3,https://www.hamilton.edu/
Hamline University,Private,"Saint Paul, Minnesota",Minnesota Intercollegiate Athletic Conference,NCAA D3,https://www.hamline.edu/
Hampden-Sydney College,Private,"Hampden Sydney, Virginia",Old Dominion Athletic Conf.,NCAA D3,https://www.hsc.edu/
Hanover College,Private,"Hanover, Indiana",Heartland Collegiate Athletic Conference,NCAA D3,https://www.hanover.edu/
Hardin-Simmons University,Private,"Abilene, Texas",American Southwest Conference,NCAA D3,https://www.hsutx.edu
Hartwick College,Private,"Oneonta, New York",Empire 7,NCAA D3,https://www.hartwick.edu/
Haverford College,Private,"Haverford, Pennsylvania",Centennial Conference,NCAA D3,https://www.haverford.edu/
Heidelberg University,Private,"Tiffin, Ohio",Ohio Athletic Conference,NCAA D3,https://www.heidelberg.edu/
Hendrix College,Private,"Conway, Arkansas",Southern Athletic Association,NCAA D3,https://www.hendrix.edu/
Hilbert College,Private,"Hamburg, New York",Allegheny Mountain Collegiate Conference,NCAA D3,https://www.hilbert.edu/
Hiram College,Private,"Hiram, Ohio",North Coast Athletic Conference,NCAA D3,https://www.hiram.edu/
Hobart & William Smith College,Private,"Geneva, New York",Liberty League,NCAA D3,https://www.hws.edu/
Hollins University,Private,"Roanoke, Virginia",Old Dominion Athletic Conf.,NCAA D3,https://www.hollins.edu/
Hood College,Private,"Frederick, Maryland",Middle Atlantic Conferences,NCAA D3,https://www.hood.edu/
Hope College,Private,"Holland, Michigan",Michigan Intercol. Ath. Assn.,NCAA D3,https://hope.edu/admissions/
Houghton University,Private,"Houghton, New York",Empire 7,NCAA D3,https://www.houghton.edu/
Howard Payne University,Private,"Brownwood, Texas",American Southwest Conference,NCAA D3,https://www.hputx.edu/
Huntingdon College,Private,"Montgomery, Alabama",Collegiate Conference of the South,NCAA D3,https://www.huntingdon.edu/
Husson University,Private,"Bangor, Maine",North Atlantic Conference,NCAA D3,https://www.husson.edu/
Illinois College,Private,"Jacksonville, Illinois",Midwest Conference,NCAA D3,https://www.ic.edu/
Illinois Institute of Technology,Private,"Chicago, Illinois",Northern Athletics Collegiate Conference,NCAA D3,https://www.iit.edu/
Illinois Wesleyan University,Private,"Bloomington, Illinois",College Conference of Illinois & Wisconsin,NCAA D3,https://www.iwu.edu/
Immaculata University,Private,"Immaculata, Pennsylvania",Atlantic East Conference,NCAA D3,https://www.immaculata.edu/
Ithaca College,Private,"Ithaca, New York",Liberty League,NCAA D3,https://www.ithaca.edu
John Carroll University,Private,"University Heights, Ohio",Ohio Athletic Conference,NCAA D3,https://www.jcu.edu/
Johns Hopkins University,Private,"Baltimore, Maryland",Centennial Conference,NCAA D3,https://apply.jhu.edu
Johnson & Wales University – Providence,Private,"Providence, Rhode Island",Great Northeast Athletic Conference,NCAA D3,https://www.jwu.edu/campuses/providence/index.html
Juniata College,Private,"Huntingdon, Pennsylvania",Landmark Conference,NCAA D3,https://www.juniata.edu
Kalamazoo College,Private,"Kalamazoo, Michigan",Michigan Intercol. Ath. Assn.,NCAA D3,https://www.kzoo.edu/
Kean University,Public,"Union, New Jersey",New Jersey Athletic Conference,NCAA D3,https://www.kean.edu/
Keene State College,Public,"Keene, New Hampshire",Little East Conference,NCAA D3,https://www.keene.edu/
Kenyon College,Private,"Gambier, Ohio",North Coast Athletic Conference,NCAA D3,https://www.kenyon.edu/
Keuka College,Private,"Keuka Park, New York",Empire 7,NCAA D3,https://www.keuka.edu/
Keystone College,Private,"La Plume, Pennsylvania",United East Conference,NCAA D3,https://www.keystone.edu/
King's College – Pennsylvania,Private,"Wilkes Barre, Pennsylvania",Middle Atlantic Conferences,NCAA D3,https://www.kings.edu/
Knox College,Private,"Galesburg, Illinois",Midwest Conference,NCAA D3,https://www.knox.edu/
La Roche University,Private,"Pittsburgh, Pennsylvania",Allegheny Mountain Collegiate Conference,NCAA D3,https://www.laroche.edu/
LaGrange College,Private,"Lagrange, Georgia",Collegiate Conference of the South,NCAA D3,https://www.lagrange.edu/
Lake Forest College,Private,"Lake Forest, Illinois",Midwest Conference,NCAA D3,https://www.lakeforest.edu/
Lakeland University,Private,"Plymouth, Wisconsin",Northern Athletics Collegiate Conference,NCAA D3,https://lakeland.edu/
Lancaster Bible College,Private,"Lancaster, Pennsylvania",United East Conference,NCAA D3,https://www.lbc.edu/
Lasell University,Private,"Newton, Massachusetts",Great Northeast Athletic Conference,NCAA D3,https://www.lasell.edu/
Lawrence University,Private,"Appleton, Wisconsin",Midwest Conference,NCAA D3,https://www.lawrence.edu/
Lebanon Valley College,Private,"Annville, Pennsylvania",Middle Atlantic Conferences,NCAA D3,https://www.lvc.edu/
Lesley University,Private,"Cambridge, Massachusetts",North Atlantic Conference,NCAA D3,https://lesley.edu/
LeTourneau University,Private,"Longview, Texas",American Southwest Conference,NCAA D3,https://www.letu.edu
Lewis & Clark College,Private,"Portland, Oregon",Northwest Conference,NCAA D3,https://www.lclark.edu/
Linfield University,Private,"Mcminnville, Oregon",Northwest Conference,NCAA D3,https://www.linfield.edu/
Loras College,Private,"Dubuque, Iowa",American Rivers Conference,NCAA D3,https://loras.edu/
Luther College,Private,"Decorah, Iowa",American Rivers Conference,NCAA D3,https://www.luther.edu/
Lycoming College,Private,"Williamsport, Pennsylvania",Landmark Conference,NCAA D3,https://www.lycoming.edu/
Lyon College,Private,"Batesville, Arkansas",St. Louis Intercollegiate Athletic Conference,NCAA D3,https://www.lyon.edu/
Macalester College,Private,"Saint Paul, Minnesota",Minnesota Intercollegiate Athletic Conference,NCAA D3,https://www.macalester.edu/
Maine Maritime Academy,Public,"Castine, Maine",North Atlantic Conference,NCAA D3,https://mainemaritime.edu/
Manchester University,Private,"North Manchester, Indiana",Heartland Collegiate Athletic Conference,NCAA D3,https://www.manchester.edu/
Manhattanville University,Private,"Purchase, New York",Skyline Conference,NCAA D3,https://www.mville.edu/
Maranatha Baptist University,Private,"Watertown, Wisconsin",Division 3 Independents,NCAA D3,https://www.mbu.edu/
Marian University – Wisconsin,Private,"Fond Du Lac, Wisconsin",Northern Athletics Collegiate Conference,NCAA D3,https://www.marianuniversity.edu/
Marietta College,Private,"Marietta, Ohio",Ohio Athletic Conference,NCAA D3,https://www.marietta.edu/
Martin Luther College,Private,"New Ulm, Minnesota",Upper Midwest Athletic Conference,NCAA D3,https://mlc-wels.edu/
Mary Baldwin University,Private,"Staunton, Virginia",USA South Athletic Conference,NCAA D3,https://marybaldwin.edu/
Marymount University – Virginia,Private,"Arlington, Virginia",Atlantic East Conference,NCAA D3,https://marymount.edu/
Maryville College,Private,"Maryville, Tennessee",Collegiate Conference of the South,NCAA D3,https://www.maryvillecollege.edu/
Marywood University,Private,"Scranton, Pennsylvania",Atlantic East Conference,NCAA D3,https://www.marywood.edu/
Massachusetts College of Liberal Arts,Public,"North Adams, Massachusetts",Massachusetts State Collegiate Athletic Conference,NCAA D3,https://www.mcla.edu/
Massachusetts Institute of Technology – MIT,Private,"Cambridge, Massachusetts",New England Women's and Men's Athletic Conference,NCAA D3,https://web.mit.edu/
Massachusetts Maritime Academy,Public,"Buzzards Bay, Massachusetts",Massachusetts State Collegiate Athletic Conference,NCAA D3,https://www.maritime.edu/
McDaniel College,Private,"Westminster, Maryland",Centennial Conference,NCAA D3,https://www.mcdaniel.edu/
McMurry University,Private,"Abilene, Texas",Southern Collegiate Athletic Conference,NCAA D3,https://mcm.edu/
Meredith College,Private,"Raleigh, North Carolina",USA South Athletic Conference,NCAA D3,https://www.meredith.edu/
Messiah University,Private,"Mechanicsburg, Pennsylvania",Middle Atlantic Conferences,NCAA D3,https://www.messiah.edu/
Methodist University,Private,"Fayetteville, North Carolina",USA South Athletic Conference,NCAA D3,https://www.methodist.edu/
Middlebury College,Private,"Middlebury, Vermont",New England Small College Athletic Conference,NCAA D3,https://www.middlebury.edu/
Millikin University,Private,"Decatur, Illinois",College Conference of Illinois & Wisconsin,NCAA D3,https://millikin.edu/
Millsaps College,Private,"Jackson, Mississippi",Southern Athletic Association,NCAA D3,https://millsaps.edu/
Milwaukee School of Engineering,Private,"Milwaukee, Wisconsin",Northern Athletics Collegiate Conference,NCAA D3,https://www.msoe.edu/
Misericordia University,Private,"Dallas, Pennsylvania",Middle Atlantic Conferences,NCAA D3,https://misericordia.university-tour.com/
Mississippi University for Women,Public,"Columbus, Mississippi",St. Louis Intercollegiate Athletic Conference,NCAA D3,https://www.muw.edu/
Mitchell College,Private,"New London, Connecticut",Great Northeast Athletic Conference,NCAA D3,https://mitchell.edu/
Monmouth College,Private,"Monmouth, Illinois",Midwest Conference,NCAA D3,https://www.monmouthcollege.edu/
Montclair State University,Public,"Montclair, New Jersey",New Jersey Athletic Conference,NCAA D3,https://www.montclair.edu/
Moravian University,Private,"Bethlehem, Pennsylvania",Landmark Conference,NCAA D3,https://www.moravian.edu/
Mount Aloysius College,Private,"Cresson, Pennsylvania",Allegheny Mountain Collegiate Conference,NCAA D3,https://www.mtaloy.edu/
Mount Holyoke College,Private,"South Hadley, Massachusetts",New England Women's and Men's Athletic Conference,NCAA D3,https://www.mtholyoke.edu/
Mount Mary University,Private,"Milwaukee, Wisconsin",Coast-To-Coast Athletic Conference,NCAA D3,https://mtmary.edu/
Mount Saint Mary College – New York,Private,"Newburgh, New York",Skyline Conference,NCAA D3,https://www.msmc.edu/
Mount St. Joseph University,Private,"Cincinnati, Ohio",Heartland Collegiate Athletic Conference,NCAA D3,https://www.msj.edu/
Muhlenberg College,Private,"Allentown, Pennsylvania",Centennial Conference,NCAA D3,https://www.muhlenberg.edu/
Muskingum University,Private,"New Concord, Ohio",Ohio Athletic Conference,NCAA D3,https://www.muskingum.edu/
Nazareth University,Private,"Rochester, New York",Empire 8,NCAA D3,https://www2.naz.edu/
Nebraska Wesleyan University,Private,"Lincoln, Nebraska",American Rivers Conference,NCAA D3,https://www.nebrwesleyan.edu/
Neumann University,Private,"Aston, Pennsylvania",Atlantic East Conference,NCAA D3,https://www.neumann.edu/
New England College,Private,"Henniker, New Hampshire",Great Northeast Athletic Conference,NCAA D3,https://www.nec.edu/
New Jersey City University,Public,"Jersey City, New Jersey",New Jersey Athletic Conference,NCAA D3,https://www.njcu.edu/
New York University,Private,"New York, New York",University Athletic Association,NCAA D3,https://www.nyu.edu/
Nichols College,Private,"Dudley, Massachusetts",Conference of New England,NCAA D3,https://www.nichols.edu/
North Carolina Wesleyan University,Private,"Rocky Mount, North Carolina",USA South Athletic Conference,NCAA D3,https://ncwu.edu/
North Central College,Private,"Naperville, Illinois",College Conference of Illinois & Wisconsin,NCAA D3,https://www.northcentralcollege.edu/
North Central University,Private,"Minneapolis, Minnesota",Upper Midwest Athletic Conference,NCAA D3,https://www.northcentral.edu/
North Park University,Private,"Chicago, Illinois",College Conference of Illinois & Wisconsin,NCAA D3,https://www.northpark.edu/
Northland College,Private,"Ashland, Wisconsin",Upper Midwest Athletic Conference,NCAA D3,https://www.northland.edu/
Norwich University,Private,"Northfield, Vermont",Great Northeast Athletic Conference,NCAA D3,https://www.norwich.edu/
Notre Dame of Maryland University,Private,"Baltimore, Maryland",United East Conference,NCAA D3,https://www.ndm.edu
Oberlin College,Private,"Oberlin, Ohio",North Coast Athletic Conference,NCAA D3,https://www.oberlin.edu/
Occidental College,Private,"Los Angeles, California",Southern California Intercollegiate Athletic Conf.,NCAA D3,https://www.oxy.edu/
Oglethorpe University,Private,"Atlanta, Georgia",Southern Athletic Association,NCAA D3,https://oglethorpe.edu
Ohio Northern University,Private,"Ada, Ohio",Ohio Athletic Conference,NCAA D3,https://www.onu.edu/
Ohio Wesleyan University,Private,"Delaware, Ohio",North Coast Athletic Conference,NCAA D3,https://www.owu.edu/
Otterbein University,Private,"Westerville, Ohio",Ohio Athletic Conference,NCAA D3,https://www.otterbein.edu/
Pacific Lutheran University,Private,"Tacoma, Washington",Northwest Conference,NCAA D3,https://www.plu.edu/
Pacific University,Private,"Forest Grove, Oregon",Northwest Conference,NCAA D3,https://www.pacificu.edu/
Penn State Abington,Public,"Abington, Pennsylvania",United East Conference,NCAA D3,https://www.abington.psu.edu/
Penn State Altoona,Public,"Altoona, Pennsylvania",Allegheny Mountain Collegiate Conference,NCAA D3,https://altoona.psu.edu/
Penn State Berks,Public,"Reading, Pennsylvania",United East Conference,NCAA D3,https://berks.psu.edu/
Penn State Brandywine,Public,"Media, Pennsylvania",United East Conference,NCAA D3,https://www.brandywine.psu.edu/
Penn State Erie – The Behrend College,Public,"Erie, Pennsylvania",Allegheny Mountain Collegiate Conference,NCAA D3,https://behrend.psu.edu/
Penn State Harrisburg,Public,"Middletown, Pennsylvania",United East Conference,NCAA D3,https://harrisburg.psu.edu/
Pennsylvania College of Technology,Public,"Williamsport, Pennsylvania",United East Conference,NCAA D3,https://www.pct.edu/
Pfeiffer University,Private,"Misenheimer, North Carolina",USA South Athletic Conference,NCAA D3,https://www.pfeiffer.edu/
Piedmont University,Private,"Demorest, Georgia",Collegiate Conference of the South,NCAA D3,https://www.piedmont.edu/
Plymouth State University,Public,"Plymouth, New Hampshire",Little East Conference,NCAA D3,https://www.plymouth.edu/
Pomona-Pitzer Colleges,Private,"Claremont, California",Southern California Intercollegiate Athletic Conf.,NCAA D3,https://www.pomona.edu/
Pratt Institute,Private,"Brooklyn, New York",Atlantic East Conference,NCAA D3,https://www.pratt.edu/
Principia College,Private,"Elsah, Illinois",St. Louis Intercollegiate Athletic Conference,NCAA D3,https://www.principiacollege.edu/
